by,id,score,text,time,title,type,url
gdeglin,30138797,1,,1643562012,OneSignal (YC S11) is hiring engineers with distributed systems experience,job,https://onesignal.com/careers/9e1d251c-c1f9-49c7-98e9-c883e519f902
cloudfalcon,30136320,1,,1643544065,Taloflow (YC W21) Is Hiring a QA Engineer and Project Manager,job,https://www.ycombinator.com/companies/taloflow/jobs/bcdMpjv-qa-engineer-and-project-manager
jstreebin,30130390,1,,1643490050,EasyPost (YC S13) Is Hiring Remote,job,https://www.easypost.com/careers
evanfarrell,30127936,1,,1643475648,Path (YC S19) is hiring engineers to automate getting money for college,job,https://path.me
abelr,30125654,1,,1643457620,Corrily (YC W21) Is Hiring a Senior Account Executive,job,https://corrily.crew.work/jobs/61f1b43a8ba64f35b1550241
romming,30124401,1,,1643439600,Etleap (YC W13) Is Hiring a Software Engineer – San Francisco/London,job,https://etleap.com/jobs/#software-engineer
Nimble2017,30122645,1,"Nimble uses AI to help schools recruit &amp; hire great teachers. We’re seeking a Quality Assurance Engineer to guide us through this next phase of ambitious product growth, ensuring a delightful and consistent user experience.<p>Details here: <a href=""https:&#x2F;&#x2F;www.hirenimble.com&#x2F;qa-engineer"" rel=""nofollow"">https:&#x2F;&#x2F;www.hirenimble.com&#x2F;qa-engineer</a><p>We&#x27;re a fast-growing, ambitious team that has high standards and values inclusion, flexibility and work-life balance. We&#x27;re remote, so you can work from anywhere on a flexible schedule.<p>If interested, email resume to: talent@hirenimble.com",1643418037,Nimble (YC S17) Is Hiring a QA Engineer (F/T and Remote),job,
trq_,30120296,1,,1643403636,Multiverse (YC W20) Is Hiring an Eng Manager to Build the Future of Tabletop RPGs,job,https://www.ycombinator.com/companies/multiverse/jobs/gxcCkow-engineering-manager
rachelmumford,30117306,1,"At Anima (YC W21), we build ambitious software to automate the entire healthcare workflow. We’re in production in NHS clinics across the UK, being used by real doctors and patients. Join Anima, and you’ll work on super interesting technical problems that will save lives.<p>We’re looking to add talented engineers and designers who are hungry and understand the urgency and importance of what we’re doing for society. To find out more and apply, check out our job ads below or email rachel@animahealth.com:<p>- For Software Engineers: <a href=""https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-Software-Engineer-public-job-description-abb4c9c5eac3450e9f48cbbcc3f6f27e"" rel=""nofollow"">https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-Software-Engineer-publ...</a><p>- For Clinical Engineers: <a href=""https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-Clinical-Engineer-job-description-6bdeb0865e3e49319b714cb4c2872945"" rel=""nofollow"">https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-Clinical-Engineer-job-...</a><p>- For UI&#x2F;UX Designers: <a href=""https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-UI-UX-designer-public-job-description-7ed229e1616b4428876f697499f5c3b4"" rel=""nofollow"">https:&#x2F;&#x2F;animahealth.notion.site&#x2F;Anima-UI-UX-designer-public-...</a>",1643389240,Anima (YC W21) is hiring engineers and designers: optimal patient care in 24 hours,job,
grmmph,30113576,1,"The Job:<p>Help hardware engineers ship products 3X faster!<p>Nowadays, the manufacturing industry is incredibly inefficient, costing the US economy billions of dollars every year, and making hardware products, like cars, planes, and medical devices that are expensive or unsafe&#x2F;unusable.<p>In Jiga, we are working hard to fix this problem, by building a purchasing platform that talks to engineers.<p>You should apply if<p>- You love building UI components as much as building data structures and API endpoints, and there isn’t a task you can&#x27;t do.
- You are connected to the product side.
- You are not afraid to make mistakes and get your hands dirty. 
 - You have a get stuff done attitude.
- You love what you do.<p>Requirements:<p>- 3+ years of experience building full-stack web applications, end-to-end.
- Proven experience with React.  - Proven experience with NodeJS, MongoDB, AWS S3.
- Deep love of startups and creating new products  - Working blazingly fast.
- Independent and autodidact.<p>Would be nice to have also: 
- Experience with Next.js<p>About Jiga<p>Jiga was started by our co founder, Assaf, who identified a need in the manufacturing market. After 6 years as a manufacturer himself, Assaf realized these inefficiencies had to be addressed.<p>We were founded in 2020, just before the first COVID lockdown. As we had to work remotely from day one, we learnt to communicate in an async way to allow everyone to focus and do what they do best, wherever they want and whenever they want.<p>We believe in flexible, remote work where each one of the team members has a voice and impact on the product. We don&#x27;t count hours, we take a no-nonsense approach, and we’re open to any new ideas and technology.<p>All religions&#x2F;genders&#x2F;races are encouraged to apply, we simply don&#x27;t care where you&#x27;re from as long as you do a good job and play nice.<p>Benefits<p>Fully flexible, location independent, parent-friendly remote work environment.
Internationally diverse and dynamic team with a clear vision and strategy.
Self-development budget.
Spotify&#x2F;YouTube music subscription.
Generous stock options package.
Fast-paced environment with lots of room for creative freedom.
Opportunity to work on a real, painful problem together with an amazing team.<p>How to apply<p>Please send us an email to jobs@jiga.io with your CV, a short blurb and your favourite ice cream flavour (mine is cookies, obviously)",1643371217,Jiga (YC W21) Is Hiring Their 3rd Full Stack Engineer,job,
simonwhite87,30111497,1,,1643353267,Rebank (YC W19) Is Hiring a Software Engineer (Back End),job,https://www.ycombinator.com/companies/rebank/jobs/J9gH1P4-software-engineer-backend
hmahallati,30106601,1,,1643317208,"Hyperseed (YC S21), no-code for finance pros, is hiring a front-end engineer",job,https://www.ycombinator.com/companies/hyperseed/jobs/18szLSd-front-end-engineer-for-the-no-code-platform-for-finance-professionals
suhail,30102970,1,,1643302866,Mighty (YC S19) Is Hiring a Windows Software Engineer,job,https://www.notion.so/Mighty-is-hiring-945d3168d3e34a37883ca4d823ed734f
dolftax,30099449,1,,1643284838,DeepSource is looking for a developer advocate (Remote within US),job,https://boards.greenhouse.io/deepsource/jobs/4289079004
awalias,30094561,1,,1643245238,Supabase (YC S20) Is Hiring Senior Auth Engineers,job,https://about.supabase.com/careers/auth-engineers
josephcohen,30091767,1,,1643230829,Universe (YC W18) Is Hiring Product Leads for Creation and Commerce Tools,job,https://workatuniverse.com/product
jaz46,30088080,1,,1643216426,Pachyderm (YC W15) is hiring data science bloggers,job,https://www.pachyderm.com/careers/#positions
ryankicks,30084492,1,,1643198406,YC's software team is looking for a full stack engineer,job,https://www.ycombinator.com/companies/y-combinator/jobs/7D3drHl-product-engineer
abhikp,30082628,1,,1643180457,Ashby (YC W19) hiring engineers who want to own product,job,https://jobs.ashbyhq.com/Ashby?utm_source=hn
ethanyu94,30077948,1,,1643144456,Motion (YC W20) is hiring full stack and back end engineers,job,https://jobs.ashbyhq.com/motion
Yertis,30074329,1,,1643130047,Ribbon Health (YC S17) hiring values-driven Engineers to help patients find care,job,https://www.ribbonhealth.com/blog/how-ribbons-value-driven-tech-philosophy-helps-patients-find-care/
brennanm,30070843,1,,1643112025,Hypercontext (YC S21) is hiring a SwiftUI developer,job,https://www.ycombinator.com/companies/hypercontext/jobs/kVsnSnv-software-engineer-swift-ui-macos
ilianam,30063960,1,,1643058005,Manara (YC W21) hiring full-stack engineers and designer (remote),job,http://www.manara.tech/careers
rrwhite,30060383,1,,1643043601,Fathom (YC W21) is hiring our first Product Analyst (remote),job,https://www.ycombinator.com/companies/fathom/jobs/s1QdG0L-product-analyst-remote
mkong1,30056568,1,,1643025645,GiveCampus (YC S15) hiring Sr engineers to increase accessibility to education,job,https://jobs.lever.co/givecampus/44af3199-546a-404a-95fd-a097ef37e915
slederer,30054426,1,,1643007670,Bitmovin (YC S15) Is Hiring Software Engineers in Support in EMEA,job,https://bitmovin.com/careers/5617278002?gh_jid=5617278002
piyushnarwani,30052379,1,,1642986022,Aerotime (YC W21) Is Hiring,job,https://www.ycombinator.com/companies/aerotime/jobs/HxfTJyw-founding-engineer-front-end
aglazer,30050398,1,,1642971616,DevCycle (YC W14) is rebuilding feature flags from the ground up – come join us,job,https://devcycle.com/company/careers
ympatel,30047781,1,,1642957212,Legion Health (YC S21) Is Hiring a Clinician Operations Lead,job,https://www.ycombinator.com/companies/legion-health/jobs/Vc1e3ii-clinical-operations-lead
amasad,30045549,1,,1642939266,Replit (YC W18) is hiring engineers to make delightful programming environments,job,https://replit.com/careers
FabioFleitas,30040767,1,,1642885231,Tesorio (YC S15) is hiring a Senior DevOps to join our fully distributed team,job,https://www.tesorio.com/careers#job-openings
vinayak147,30038446,1,,1642870830,Zendar (YC S17) Is Hiring a Platform Engineering Manager,job,https://zendar.breezy.hr/p/a5536887620f
michaelotis,30035919,1,,1642852804,Procoto (YC W21) Is Hiring Front End Engineers,job,https://www.ycombinator.com/companies/procoto/jobs/SGo548h-front-end-engineer
amckenzie,30029935,1,,1642798865,Rescale (YC W12) Is Hiring Software Engineers,job,https://jobs.lever.co/rescale/57b5bc81-ee75-4a30-a763-3eb8dd595165?lever-origin=applied&lever-source%5B%5D=Hacker%20News
cstanley,30026318,1,,1642784462,Basis (YC S21) is hiring devs to refactor the modern data stack,job,https://get-basis.notion.site/Work-at-Basis-07bb5d7502a043b9b861f50ef24b45d8
alexshortt,30022283,1,,1642766428,Muse (YC S21) Is Hiring a Head of Web Graphics,job,https://jobs.ashbyhq.com/muse/1e73e735-3c63-4131-a04d-ff3c73f3567e?utm_source=w05n35VEGp
trustle,30020131,1,,1642748403,Ello (YC W20) Is Hiring a Lead Unity Engineer,job,https://www.ycombinator.com/companies/ello/jobs/26qbW2p-lead-unity-engineer
nedwin,30017793,1,,1642726836,Great Question (YC W21) Is Hiring BDR #1,job,https://careers.greatquestion.co/business-development-representative/en?
ankitvgupta,30014910,1,,1642712432,Reverie Labs (YC W18) is hiring senior software engineers to tackle cancer,job,https://www.reverielabs.com/careers
mkx,30011515,1,,1642698032,Dover (YC S19) just raised $20m and is hiring for all roles,job,https://dover.com/careers
alooPotato,30007795,1,,1642680009,Streak (YC S11) is hiring front end engineering roles,job,https://www.streak.com/careers/product-engineer
justin_intal,30000051,1,,1642626067,Forage (YC S21) Is Hiring a Software Engineers,job,https://www.ycombinator.com/companies/forage-2/jobs/lpQNgvs-software-engineer
davidndindi,29996298,1,,1642611609,Atomic (YC S20) Is Hiring Senior Back End Engineers (Golang),job,https://www.ycombinator.com/companies/atomic/jobs/YGfhkDP-senior-backend-engineer-golang
jeffreybarrett,29992568,1,,1642593662,Underground Cellar (YC W15) Is Hiring a Senior Product Manager,job,https://jobs.lever.co/undergroundcellar/24adbf67-5ea8-4bff-9a50-8f7714985f4b
dkobran,29985735,1,,1642539648,Paperspace (YC W15) is hiring engineers to build a next-gen cloud,job,https://www.paperspace.com/careers#open-positions
daibhin,29982031,1,,1642525243,Unflow (YC S19) Is Hiring a Founding iOS Engineer,job,https://www.ycombinator.com/companies/unflow/jobs/xY3DJ1O-ios-engineer
mmcclure,29977873,1,,1642507209,Mux (YC W16) is hiring to build the future of video infra,job,https://mux.com/jobs?hnj=future
fitzrocks,29968621,1,,1642438848,Freshpaint (YC S19) Is Hiring – Head of Marketing,job,https://www.ycombinator.com/companies/freshpaint/jobs/9JGTh1N-head-of-marketing
Equiet,29965708,1,,1642420821,Deepnote (YC S19) is hiring to build a better data science notebook (Europe),job,https://deepnote.com/join-us
akircher,29955269,1,"SIRUM is making medications affordable for all. We’re a small (~30) but quickly growing team that’s passionate about our mission of reimagining healthcare access for those in need. We come from organizations like McKinsey, the Clinton Foundation, and Stanford Biology.
We like to solve tough problems and are determined to improve healthcare access for families who have trouble affording the medications they need to stay healthy.<p>We are currently hiring for our Atlanta Offices as well as some fully remote roles. We have opportunities for staff&#x2F;principal software developers and product managers who are ex-developers.<p>If you want to work in healthcare, were going to make a new year&#x27;s resolution to find mission-driven work, and thrive in a startup environment, then we may be a good fit. If you see a position that you like then apply at <a href=""https:&#x2F;&#x2F;boards.greenhouse.io&#x2F;sirum"" rel=""nofollow"">https:&#x2F;&#x2F;boards.greenhouse.io&#x2F;sirum</a>. Even if you don’t see something that’s the right fit right now, email adam -at- sirum.org - we love hearing from folks on hackernews who share our mission.",1642334419,Sirum (YC W15) is hiring developers to help uninsured people afford medicine,job,
